,Status,CommonCode,Name,Description,LevelAndCategory,Symbol,ConversionFactor
0,X,05,lift,nan,3.9,nan,nan
1,X,06,small spray,nan,3.9,nan,nan
2,X,08,heat lot,nan,3.9,nan,nan
3,nan,10,group,A unit of count defining the number of groups (group: set of items classified together).,3.9,nan,nan
4,nan,11,outfit,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).,3.9,nan,nan
5,nan,13,ration,A unit of count defining the number of rations (ration: a single portion of provisions).,3.9,nan,nan
6,nan,14,shot,"A unit of liquid measure, especially related to spirits.",3.9,nan,nan
7,nan,15,"stick, military",A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).,3.9,nan,nan
8,X,16,hundred fifteen kg drum,nan,3.3,nan,nan
9,X,17,hundred lb drum,nan,3.3,nan,nan
10,X,18,fiftyfive gallon (US) drum,nan,3.3,nan,nan
11,X,19,tank truck,nan,3.4,nan,nan
12,nan,20,twenty foot container,A unit of count defining the number of shipping containers that measure 20 foot in length.,3.4,nan,nan
13,nan,21,forty foot container,A unit of count defining the number of shipping containers that measure 40 foot in length.,3.4,nan,nan
14,nan,22,decilitre per gram,nan,1M,dl/g,10⁻¹ x m³/kg
15,nan,23,gram per cubic centimetre,nan,1S,g/cm³,10³ kg/m³
16,nan,24,theoretical pound,A unit of mass defining the expected mass of material expressed as the number of pounds.,3.1,nan,nan
17,nan,25,gram per square centimetre,nan,1M,g/cm²,10 kg/m²
18,X,26,actual ton,nan,3.1,nan,nan
19,nan,27,theoretical ton,"A unit of mass defining the expected mass of material, expressed as the number of tons.",3.1,nan,nan
20,nan,28,kilogram per square metre,nan,1,kg/m²,kg/m²
21,X,29,pound per thousand square foot,nan,3.8,lb/kft²,nan
22,X,30,horse power day per air dry metric ton,nan,3.5,nan,nan
23,X,31,catch weight,nan,3.9,nan,nan
24,X,32,kilogram per air dry metric ton,nan,3.5,nan,nan
25,nan,33,kilopascal square metre per gram,nan,1M,kPa·m²/g,10⁶ m/s²
26,nan,34,kilopascal per millimetre,nan,1M,kPa/mm,10⁶ kg/(m² x s²)
27,nan,35,millilitre per square centimetre second,nan,1M,ml/(cm²·s),10⁻² m/s
28,X,36,cubic foot per minute per square foot,Conversion factor required,1M,ft³/(min/ft²),nan
29,nan,37,ounce per square foot,nan,2,oz/ft²,"0,305 151 7 kg/m²"
30,nan,38,"ounce per square foot per 0,01inch",nan,3.9,oz/(ft²/cin),nan
31,nan,40,millilitre per second,nan,1M,ml/s,10⁻⁶ m³/s
32,nan,41,millilitre per minute,nan,1M,ml/min,"1,666 67 x 10⁻⁸ m³/s"
33,X,43,super bulk bag,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,nan,nan
34,X,44,fivehundred kg bulk bag,nan,3.3,nan,nan
35,X,45,threehundred kg bulk bag,nan,3.3,nan,nan
36,X,46,fifty lb bulk bag,nan,3.3,nan,nan
37,X,47,fifty lb bag,nan,3.3,nan,nan
38,X,48,bulk car load,nan,3.4,nan,nan
39,X,53,theoretical kilogram,nan,3.1,nan,nan
40,X,54,theoretical tonne,nan,3.1,nan,nan
41,nan,56,sitas,A unit of area for tin plate equal to a surface area of 100 square metres.,3.9,nan,nan
42,nan,57,mesh,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.,3.9,nan,nan
43,nan,58,net kilogram,A unit of mass defining the total number of kilograms after deductions.,3.1,nan,nan
44,nan,59,part per million,A unit of proportion equal to 10⁻⁶.,3.7,ppm,1 x 10⁻⁶
45,nan,60,percent weight,A unit of proportion equal to 10⁻².,3.7,nan,1 x 10⁻²
46,nan,61,part per billion (US),A unit of proportion equal to 10⁻⁹.,3.7,ppb,1 x 10⁻⁹
47,X,62,percent per 1000 hour,nan,3.7,nan,nan
48,X,63,failure rate in time,nan,3.9,nan,nan
49,D,64,"pound per square inch, gauge",nan,3.1,nan,"7,030 696 x 10² kg/m²"
50,D,66,oersted,nan,3.5,Oe,"7,957 747 x 10 A/m"
51,X,69,test specific scale,nan,3.9,nan,nan
52,X,71,volt ampere per pound,nan,3.9,nan,nan
53,X,72,watt per pound,nan,3.9,nan,nan
54,X,73,ampere tum per centimetre,nan,3.9,nan,nan
55,nan,74,millipascal,nan,1S,mPa,10⁻³ Pa
56,D,76,gauss,nan,3.5,Gs,10⁻⁴ T
57,nan,77,milli-inch,nan,2,mil,"25,4 x 10⁻⁶ m"
58,D,78,kilogauss,nan,3.5,kGs,10⁻¹ T
59,nan,80,pound per square inch absolute,nan,2,lb/in²,"7,030 696 x 10² kg/m²"
60,nan,81,henry,nan,1,H,H
61,D,84,kilopound-force per square inch,"A unit of pressure defining the number of kilopounds force per square inch.,Use kip per square inch (common code N20).",2,klbf/in²,"6,894 757 x 10⁶ Pa"
62,nan,85,foot pound-force,nan,2,ft·lbf,"1,355 818 J"
63,nan,87,pound per cubic foot,nan,2,lb/ft³,"1,601 846 x 10¹ kg/m³"
64,nan,89,poise,nan,2,P,"0,1 Pa x s"
65,X,90,Saybold universal second,nan,3.9,nan,nan
66,nan,91,stokes,nan,2,St,10⁻⁴ m²/s
67,X,92,calorie per cubic centimetre,nan,3.9,nan,nan
68,X,93,calorie per gram,Use International Table (IT) calorie per gram (common code D75).,3.5,cal/g,"4,186 8 x 10³ J/kg"
69,X,94,curl unit,nan,3.9,nan,nan
70,X,95,twenty thousand gallon (US) tankcar,nan,3.4,nan,nan
71,X,96,ten thousand gallon (US) tankcar,nan,3.4,nan,nan
72,X,97,ten kg drum,nan,3.3,nan,nan
73,X,98,fifteen kg drum,nan,3.3,nan,nan
74,X,1A,car mile,nan,3.5,nan,nan
75,X,1B,car count,nan,3.5,nan,nan
76,X,1C,locomotive count,nan,3.5,nan,nan
77,X,1D,caboose count,nan,3.5,nan,nan
78,X,1E,empty car,nan,3.5,nan,nan
79,X,1F,train mile,nan,3.5,nan,nan
80,X,1G,fuel usage gallon (US),nan,3.5,nan,nan
81,X,1H,caboose mile,nan,3.5,nan,nan
82,nan,1I,fixed rate,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.,3.9,nan,nan
83,X,1J,ton mile,nan,3.5,nan,nan
